Date,Size_Class,Count
14-May-20,LARGE,22
15-May-20,SMALL,8
15-May-20,MEDIUM,10
15-May-20,LARGE,21
16-May-20,SMALL,9
16-May-20,LARGE,13
16-May-20,MEDIUM,19
17-May-20,SMALL,6
17-May-20,MEDIUM,9
17-May-20,LARGE,16
18-May-20,SMALL,13
18-May-20,MEDIUM,15
18-May-20,LARGE,20
19-May-20,SMALL,9
19-May-20,MEDIUM,16
19-May-20,LARGE,17
20-May-20,SMALL,8
20-May-20,LARGE,13
20-May-20,MEDIUM,17
21-May-20,SMALL,9
21-May-20,LARGE,15
21-May-20,MEDIUM,18
22-May-20,SMALL,8
22-May-20,MEDIUM,12
22-May-20,LARGE,17
23-May-20,SMALL,11
23-May-20,MEDIUM,17
23-May-20,LARGE,24
24-May-20,SMALL,10
24-May-20,LARGE,16
24-May-20,MEDIUM,17
25-May-20,SMALL,5
25-May-20,MEDIUM,12
25-May-20,LARGE,18
26-May-20,SMALL,7
26-May-20,MEDIUM,13
26-May-20,LARGE,14
27-May-20,SMALL,9
27-May-20,MEDIUM,11
27-May-20,LARGE,20
28-May-20,SMALL,7
28-May-20,MEDIUM,17
28-May-20,LARGE,19
29-May-20,SMALL,5
29-May-20,MEDIUM,11
29-May-20,LARGE,16
30-May-20,SMALL,10
30-May-20,LARGE,18
30-May-20,MEDIUM,18
31-May-20,SMALL,4
31-May-20,MEDIUM,13
31-May-20,LARGE,24
01-Jun-20,SMALL,7
01-Jun-20,MEDIUM,16
01-Jun-20,LARGE,22
02-Jun-20,SMALL,10
02-Jun-20,MEDIUM,13
02-Jun-20,LARGE,20
03-Jun-20,SMALL,6
03-Jun-20,MEDIUM,10
03-Jun-20,LARGE,15
04-Jun-20,MEDIUM,9
04-Jun-20,SMALL,15
04-Jun-20,LARGE,21
05-Jun-20,SMALL,9
05-Jun-20,MEDIUM,11
05-Jun-20,LARGE,18
06-Jun-20,SMALL,6
06-Jun-20,MEDIUM,9
06-Jun-20,LARGE,16
07-Jun-20,SMALL,10
07-Jun-20,LARGE,13
07-Jun-20,MEDIUM,21
08-Jun-20,MEDIUM,12
08-Jun-20,SMALL,14
08-Jun-20,LARGE,16
09-Jun-20,MEDIUM,10
09-Jun-20,SMALL,11
09-Jun-20,LARGE,20
10-Jun-20,SMALL,13
10-Jun-20,MEDIUM,15
10-Jun-20,LARGE,17
11-Jun-20,SMALL,11
11-Jun-20,MEDIUM,14
11-Jun-20,LARGE,22
12-Jun-20,SMALL,11
12-Jun-20,MEDIUM,17
12-Jun-20,LARGE,21
13-Jun-20,SMALL,9
13-Jun-20,LARGE,16
13-Jun-20,MEDIUM,16
14-Jun-20,SMALL,6
14-Jun-20,MEDIUM,8
14-Jun-20,LARGE,23
15-Jun-20,SMALL,7
15-Jun-20,MEDIUM,11
15-Jun-20,LARGE,18
16-Jun-20,MEDIUM,10
16-Jun-20,SMALL,13
16-Jun-20,LARGE,16
17-Jun-20,SMALL,9
17-Jun-20,MEDIUM,18
17-Jun-20,LARGE,25
18-Jun-20,SMALL,9
18-Jun-20,LARGE,15
18-Jun-20,MEDIUM,15
19-Jun-20,SMALL,6
19-Jun-20,MEDIUM,14
19-Jun-20,LARGE,18
20-Jun-20,SMALL,9
20-Jun-20,MEDIUM,19
20-Jun-20,LARGE,22
21-Jun-20,SMALL,7
21-Jun-20,MEDIUM,11
21-Jun-20,LARGE,22
22-Jun-20,SMALL,6
22-Jun-20,MEDIUM,14
22-Jun-20,LARGE,16
23-Jun-20,LARGE,9
23-Jun-20,MEDIUM,10
23-Jun-20,SMALL,10
24-Jun-20,SMALL,10
24-Jun-20,MEDIUM,13
24-Jun-20,LARGE,16
25-Jun-20,SMALL,9
25-Jun-20,MEDIUM,15
25-Jun-20,LARGE,21
26-Jun-20,SMALL,10
26-Jun-20,MEDIUM,16
26-Jun-20,LARGE,18
27-Jun-20,SMALL,9
27-Jun-20,MEDIUM,12
27-Jun-20,LARGE,18
28-Jun-20,SMALL,7
28-Jun-20,MEDIUM,16
28-Jun-20,LARGE,20
29-Jun-20,SMALL,11
29-Jun-20,LARGE,20
29-Jun-20,MEDIUM,23
30-Jun-20,SMALL,9
30-Jun-20,MEDIUM,20
30-Jun-20,LARGE,25
